,alt,dcr1,dcr2
361,0.10120030768354671,7.147265706353297,7.1346474811422045
362,0.10546251637709603,7.1197554919190305,7.062266544832312
363,0.10777798655889614,7.046744662799668,6.965506402188133
364,0.11837928124081498,7.077606649207017,6.882372327390286
365,0.12216220911252296,8.61506793832954,8.327215806400966
366,0.10389818055847178,8.312329386549843,8.264519587725875
367,0.12709548201250376,8.383707194849205,8.039202292700132
368,0.12032481018164132,8.26871727316351,8.015897544682202
369,0.09562045785735285,7.89846485629627,7.949015252172435
370,0.10015894998927544,7.9006926338927705,7.898847766584486
371,0.10297436360997625,7.831760352988085,7.797426916374346
372,0.0976936077919498,7.706697043238227,7.732734435399691
373,0.11295392503301394,7.81219113532361,7.661278763044697
374,0.09501528513972846,7.544755963711532,7.5996764944056725
375,0.09457121730499263,7.471550623174073,7.53075304963757
376,0.09888031393585006,7.469801956295305,7.482070682754264
377,0.11359278180053367,7.591424112175399,7.437427955302569
378,0.08223045922934047,7.1924934299805106,7.376415062173078
379,0.09005699663865407,7.178609826974266,7.282249199882154
380,0.09082543688106748,7.124469670285443,7.21946200626052
381,0.0955442143497699,7.121622674814793,7.167990647257904
382,0.10214385408814186,7.068686514042859,7.046372529946365
383,0.1035223270038087,7.0120248985553975,6.97559862736986
384,0.13021363707032507,8.736366286996862,8.334552170774199
385,0.08523976242342401,8.075764794658827,8.247890453822702
386,0.11984944940656672,8.33974774428269,8.090860921550252
387,0.11772891247661477,8.210242921882246,7.991947890500695
388,0.0981892265787706,7.901326340051511,7.922296890608466
389,0.09769057771048006,7.843698377322566,7.870233356257228
390,0.10636850008624943,7.8650749756365155,7.790956371089001
391,0.10893452518051594,7.803130675442505,7.699655773151211
392,0.09479080876054602,7.566304756620986,7.623847511200517
393,0.07710042468395151,7.332940118256818,7.5731837583633475
394,0.09210438401863674,7.391086840399973,7.4760214057319345
395,0.10050912854890648,7.468057232883585,7.462469296409111
396,0.10070297996049737,7.4345913806563555,7.426908671651393
397,0.0917056454062295,7.259253477893096,7.346845635207987
398,0.08897703448745142,7.161402061426917,7.275880722283111
399,0.08220197015131259,7.014545964187939,7.194198989551814
400,0.1001348378667758,7.149070359507023,7.147654276434088
401,0.10951069222648024,7.133422302716319,7.032659823236555
402,0.1073592638717068,7.057360985440427,6.980418135162558
403,0.12194058374772854,8.598978377865206,8.314612249084666
404,0.10455941752548692,8.48709843075206,8.42995893618274
405,0.12495598890042248,8.66688280989268,8.33970338613467
406,0.1147551642881991,8.453359316909843,8.266958207169756
407,0.0603689693998708,7.733573503035897,8.16391061173777
408,0.11851439454541868,8.341842514176745,8.110005673224187
409,0.11897390208717529,8.24360712028067,8.008685975264799
410,0.10789448116911238,8.020647945559583,7.926784323316363
411,0.0969741355692042,7.834743690608272,7.869441981918145
412,0.09791890334040221,7.7537294534758345,7.777372988726685
413,0.10827042808110798,7.781191375038821,7.685751469513615
414,0.1122880388274029,7.756402368956946,7.614381477299314
415,0.09292469535283177,7.486094711750814,7.563256322565295
416,0.08336630957022984,7.318328048747417,7.493732241863314
417,0.10745922221466497,7.498559160290386,7.415686010155669
418,0.11065438313998366,7.517263603196978,7.39815002234948
419,0.09328910029371351,7.278880045690411,7.350071635791776
420,0.09391217971330412,7.208500161373717,7.272503472997828
421,0.10718228247750028,7.264415527683917,7.187135977369837
422,0.10078516621844291,7.175104144221439,7.1668219446822095
423,0.10851328011818351,7.148102138044564,7.057827150997749
424,0.10851279628662447,7.09085810045595,7.001311201568853
425,0.12515613502112777,8.72204966741333,8.390067425667436
426,0.12235842294411414,8.592090669351016,8.302396713938625
427,0.12419411815408055,8.532198330804427,8.220221058247025
428,0.12497099046235549,8.400415254941704,8.083098794671221
429,0.12069382967122777,8.28043887792776,8.022550689902326
430,0.10400260205725387,7.9806080420555805,7.933470862614263
431,0.10126041991177737,7.89996202699978,7.885315440541898
432,0.09857670642039629,7.764320899662621,7.780525525074402
433,0.10905893973029013,7.78264467820975,7.677989015081135
434,0.090322085013532,7.508065407382946,7.613603453459705
435,0.0864681579688098,7.417946705951382,7.563097537539277
436,0.08078828087447998,7.3252031972224,7.527388730325604
437,0.0901319981552352,7.3581134258105205,7.463552111906488
438,0.08154382690409256,7.215686593321434,7.407181337253709
439,0.10115831765743799,7.38644310207342,7.373859425126794
440,0.09733356397152415,7.292673570664812,7.32114653491506
441,0.1023082540203275,7.243212208780752,7.218589194331923
442,0.11560740162763539,7.318426917773886,7.1475585898495
443,0.11336341099350766,7.229127446073256,7.084994317372687
444,0.11027265587363166,7.133283867259248,7.024353167486992
445,0.11218522075221549,7.068620972292289,6.940291988820773
446,0.1257946413419303,7.062612880905741,6.78675870591042
447,0.1178160425168383,8.660959434285354,8.429525029440613
448,0.1324726530885153,8.806478445666173,8.369967301729657
449,0.13002101194691773,8.691123939116943,8.294031321191
450,0.11739073671890765,8.432987999098094,8.213135769620564
451,0.12616924891058612,8.370834250068004,8.038985845641614
452,0.11500512811454666,8.209882817210396,8.025729208595076
453,0.10499109770178294,7.982090067539175,7.923232853745913
454,0.09687985495068019,7.841610108629405,7.877416983342061
455,0.10481466600434786,7.848464624806956,7.792649966952129
456,0.10857341031914314,7.76536054563651,7.666590406389159
457,0.1115976274176953,7.75247396479152,7.618609521744976
458,0.09231293694093057,7.474056770666573,7.557696256519614
459,0.09236929038080921,7.4299357981466425,7.512477365930433
460,0.10644112160449537,7.565387175066775,7.493273635273855
461,0.11468252883086516,7.609683329847818,7.442726095393633
462,0.10254383754717722,7.426502184701438,7.398671787724315
463,0.09586762323426545,7.295826914592387,7.339897802130085
464,0.10037022058324241,7.258905335534112,7.25495641965667
465,0.11138017632435115,7.296152743017391,7.172561592122941
466,0.11122704711570719,7.189717442138791,7.0695896550207955
467,0.10116212767883637,7.0292543376179655,7.017239730990846
468,0.11283153088997755,7.074857727496241,6.93949969219925
469,0.06767270998157027,8.24507064760119,8.622379631629768
470,0.13225856910964295,8.983845801701317,8.541593261654647
471,0.11041387411366732,8.618839416670813,8.485391640224329
472,0.1270266586198331,8.736488600214505,8.378428598904021
473,0.11567171671116272,8.498092092407944,8.298848525044246
474,0.10302802985897042,8.123745387055607,8.08748708352703
475,0.10877353987082328,8.11696228552728,8.011285180422298
476,0.11176470765465485,8.054535100136224,7.913423433643554
477,0.0983202511942124,7.840645518457345,7.859952212531981
